MountingBoltSize	2
AxleBoltSize	4
AxleBoltLength	35
TieRodMountingBoltSize	2
TieRodMountingBoltLength	12
TieRodBallJointHeight	4
TieRodNutHeight	3
TieRodBoltEndClearance	5
